model_id,condition_id,accuracy,invalid_rate,n
Qwen/Qwen2.5-3B-Instruct,baseline,0.5027173913043478,0.06929347826086957,736
Qwen/Qwen2.5-3B-Instruct,cot_constrained,0.5054347826086957,0.0,736
Qwen/Qwen2.5-72B-Instruct,baseline,0.7907608695652174,0.03804347826086957,736
Qwen/Qwen2.5-72B-Instruct,cot_constrained,0.8206521739130435,0.0,736
Qwen/Qwen2.5-7B-Instruct,baseline,0.5855978260869565,0.09646739130434782,736
Qwen/Qwen2.5-7B-Instruct,cot_constrained,0.6467391304347826,0.0,736
google/gemma-3-12b-it,baseline,0.6413043478260869,0.002717391304347826,736
google/gemma-3-12b-it,cot_constrained,0.6073369565217391,0.008152173913043478,736
meta-llama/Llama-3.1-70B-Instruct,baseline,0.7540760869565217,0.02309782608695652,736
meta-llama/Llama-3.1-70B-Instruct,cot_constrained,0.71875,0.017663043478260868,736
meta-llama/Llama-3.1-8B-Instruct,baseline,0.5692934782608695,0.043478260869565216,736
meta-llama/Llama-3.1-8B-Instruct,cot_constrained,0.4266304347826087,0.06657608695652174,736
microsoft/Phi-4-mini-instruct,baseline,0.49728260869565216,0.0,736
microsoft/Phi-4-mini-instruct,cot_constrained,0.47146739130434784,0.0,736
mistralai/Mistral-7B-Instruct-v0.3,baseline,0.5366847826086957,0.001358695652173913,736
mistralai/Mistral-7B-Instruct-v0.3,cot_constrained,0.49320652173913043,0.0,736
