model_id,condition_id,accuracy,invalid_rate,n
Qwen/Qwen2.5-3B-Instruct,avoid_misconceptions,0.6005434782608695,0.08831521739130435,736
Qwen/Qwen2.5-3B-Instruct,baseline,0.5027173913043478,0.06929347826086957,736
Qwen/Qwen2.5-3B-Instruct,cautious,0.49320652173913043,0.23777173913043478,736
Qwen/Qwen2.5-3B-Instruct,code_block,0.5081521739130435,0.06657608695652174,736
Qwen/Qwen2.5-3B-Instruct,concise,0.5271739130434783,0.0,736
Qwen/Qwen2.5-3B-Instruct,cot_constrained,0.5054347826086957,0.0,736
Qwen/Qwen2.5-3B-Instruct,direct,0.5190217391304348,0.059782608695652176,736
Qwen/Qwen2.5-3B-Instruct,distractor_paragraph,0.47554347826086957,0.10461956521739131,736
Qwen/Qwen2.5-3B-Instruct,distractor_sentence,0.49728260869565216,0.08559782608695653,736
Qwen/Qwen2.5-3B-Instruct,expert,0.5040760869565217,0.15217391304347827,736
Qwen/Qwen2.5-3B-Instruct,numeric_labels,0.47282608695652173,0.09239130434782608,736
Qwen/Qwen2.5-3B-Instruct,polite,0.5258152173913043,0.08016304347826086,736
Qwen/Qwen2.5-3B-Instruct,single_line,0.4320652173913043,0.10869565217391304,736
Qwen/Qwen2.5-72B-Instruct,avoid_misconceptions,0.8586956521739131,0.035326086956521736,736
Qwen/Qwen2.5-72B-Instruct,baseline,0.7907608695652174,0.03804347826086957,736
Qwen/Qwen2.5-72B-Instruct,cautious,0.8016304347826086,0.08831521739130435,736
Qwen/Qwen2.5-72B-Instruct,code_block,0.7703804347826086,0.051630434782608696,736
Qwen/Qwen2.5-72B-Instruct,concise,0.8410326086956522,0.001358695652173913,736
Qwen/Qwen2.5-72B-Instruct,cot_constrained,0.8206521739130435,0.0,736
Qwen/Qwen2.5-72B-Instruct,direct,0.7894021739130435,0.05434782608695652,736
Qwen/Qwen2.5-72B-Instruct,distractor_paragraph,0.8192934782608695,0.019021739130434784,736
Qwen/Qwen2.5-72B-Instruct,distractor_sentence,0.8016304347826086,0.03260869565217391,736
Qwen/Qwen2.5-72B-Instruct,expert,0.8057065217391305,0.05298913043478261,736
Qwen/Qwen2.5-72B-Instruct,numeric_labels,0.748641304347826,0.06929347826086957,736
Qwen/Qwen2.5-72B-Instruct,polite,0.7894021739130435,0.057065217391304345,736
Qwen/Qwen2.5-72B-Instruct,single_line,0.7635869565217391,0.042119565217391304,736
Qwen/Qwen2.5-7B-Instruct,avoid_misconceptions,0.6535326086956522,0.11277173913043478,736
Qwen/Qwen2.5-7B-Instruct,baseline,0.5855978260869565,0.09646739130434782,736
Qwen/Qwen2.5-7B-Instruct,cautious,0.5557065217391305,0.1956521739130435,736
Qwen/Qwen2.5-7B-Instruct,code_block,0.5801630434782609,0.11277173913043478,736
Qwen/Qwen2.5-7B-Instruct,concise,0.6535326086956522,0.0,736
Qwen/Qwen2.5-7B-Instruct,cot_constrained,0.6467391304347826,0.0,736
Qwen/Qwen2.5-7B-Instruct,direct,0.59375,0.12092391304347826,736
Qwen/Qwen2.5-7B-Instruct,distractor_paragraph,0.5475543478260869,0.10869565217391304,736
Qwen/Qwen2.5-7B-Instruct,distractor_sentence,0.5706521739130435,0.09646739130434782,736
Qwen/Qwen2.5-7B-Instruct,expert,0.4945652173913043,0.2866847826086957,736
Qwen/Qwen2.5-7B-Instruct,numeric_labels,0.5,0.12364130434782608,736
Qwen/Qwen2.5-7B-Instruct,polite,0.529891304347826,0.16847826086956522,736
Qwen/Qwen2.5-7B-Instruct,single_line,0.5543478260869565,0.12092391304347826,736
google/gemma-3-12b-it,avoid_misconceptions,0.7540760869565217,0.006793478260869565,736
google/gemma-3-12b-it,baseline,0.6413043478260869,0.002717391304347826,736
google/gemma-3-12b-it,cautious,0.7527173913043478,0.008152173913043478,736
google/gemma-3-12b-it,code_block,0.6372282608695652,0.002717391304347826,736
google/gemma-3-12b-it,concise,0.6073369565217391,0.0,736
google/gemma-3-12b-it,cot_constrained,0.6073369565217391,0.008152173913043478,736
google/gemma-3-12b-it,direct,0.657608695652174,0.005434782608695652,736
google/gemma-3-12b-it,distractor_paragraph,0.6114130434782609,0.002717391304347826,736
google/gemma-3-12b-it,distractor_sentence,0.6331521739130435,0.002717391304347826,736
google/gemma-3-12b-it,expert,0.6942934782608695,0.01358695652173913,736
google/gemma-3-12b-it,numeric_labels,0.6168478260869565,0.009510869565217392,736
google/gemma-3-12b-it,polite,0.6807065217391305,0.005434782608695652,736
google/gemma-3-12b-it,single_line,0.6182065217391305,0.001358695652173913,736
meta-llama/Llama-3.1-70B-Instruct,avoid_misconceptions,0.8709239130434783,0.009510869565217392,736
meta-llama/Llama-3.1-70B-Instruct,baseline,0.7540760869565217,0.02309782608695652,736
meta-llama/Llama-3.1-70B-Instruct,cautious,0.8288043478260869,0.02717391304347826,736
meta-llama/Llama-3.1-70B-Instruct,code_block,0.7404891304347826,0.02309782608695652,736
meta-llama/Llama-3.1-70B-Instruct,concise,0.7595108695652174,0.006793478260869565,736
meta-llama/Llama-3.1-70B-Instruct,cot_constrained,0.71875,0.017663043478260868,736
meta-llama/Llama-3.1-70B-Instruct,direct,0.7622282608695652,0.020380434782608696,736
meta-llama/Llama-3.1-70B-Instruct,distractor_paragraph,0.748641304347826,0.017663043478260868,736
meta-llama/Llama-3.1-70B-Instruct,distractor_sentence,0.7744565217391305,0.019021739130434784,736
meta-llama/Llama-3.1-70B-Instruct,expert,0.7894021739130435,0.020380434782608696,736
meta-llama/Llama-3.1-70B-Instruct,numeric_labels,0.7404891304347826,0.04619565217391304,736
meta-llama/Llama-3.1-70B-Instruct,polite,0.7717391304347826,0.020380434782608696,736
meta-llama/Llama-3.1-70B-Instruct,single_line,0.7459239130434783,0.02717391304347826,736
meta-llama/Llama-3.1-8B-Instruct,avoid_misconceptions,0.6752717391304348,0.05298913043478261,736
meta-llama/Llama-3.1-8B-Instruct,baseline,0.5692934782608695,0.043478260869565216,736
meta-llama/Llama-3.1-8B-Instruct,cautious,0.5067934782608695,0.3016304347826087,736
meta-llama/Llama-3.1-8B-Instruct,code_block,0.5706521739130435,0.029891304347826088,736
meta-llama/Llama-3.1-8B-Instruct,concise,0.44972826086956524,0.002717391304347826,736
meta-llama/Llama-3.1-8B-Instruct,cot_constrained,0.4266304347826087,0.06657608695652174,736
meta-llama/Llama-3.1-8B-Instruct,direct,0.5679347826086957,0.050271739130434784,736
meta-llama/Llama-3.1-8B-Instruct,distractor_paragraph,0.5421195652173914,0.03260869565217391,736
meta-llama/Llama-3.1-8B-Instruct,distractor_sentence,0.5828804347826086,0.03125,736
meta-llama/Llama-3.1-8B-Instruct,expert,0.6019021739130435,0.058423913043478264,736
meta-llama/Llama-3.1-8B-Instruct,numeric_labels,0.48641304347826086,0.07336956521739131,736
meta-llama/Llama-3.1-8B-Instruct,polite,0.5720108695652174,0.05298913043478261,736
meta-llama/Llama-3.1-8B-Instruct,single_line,0.5353260869565217,0.035326086956521736,736
