model_id,k,psi_mean,psi_std,psi_p5,psi_p25,psi_median,psi_p75,psi_p95,psi_full
Qwen/Qwen2.5-3B-Instruct,3,0.028058,0.026831,-0.002717,0.005435,0.027174,0.029891,0.070652,0.070652
Qwen/Qwen2.5-3B-Instruct,5,0.043709,0.025012,0.005435,0.027174,0.029891,0.070652,0.070652,0.070652
Qwen/Qwen2.5-3B-Instruct,7,0.051912,0.022037,0.027174,0.029891,0.070652,0.070652,0.070652,0.070652
Qwen/Qwen2.5-3B-Instruct,9,0.060115,0.018166,0.029755,0.029891,0.070652,0.070652,0.070652,0.070652
Qwen/Qwen2.5-3B-Instruct,12,0.070652,0.0,0.070652,0.070652,0.070652,0.070652,0.070652,0.070652
Qwen/Qwen2.5-72B-Instruct,3,0.016723,0.019732,-0.014946,0.001359,0.02038,0.027174,0.04212,0.04212
Qwen/Qwen2.5-72B-Instruct,5,0.028019,0.014803,0.001359,0.02038,0.027174,0.04212,0.04212,0.04212
Qwen/Qwen2.5-72B-Instruct,7,0.034173,0.010788,0.02038,0.027174,0.04212,0.04212,0.04212,0.04212
Qwen/Qwen2.5-72B-Instruct,9,0.037876,0.007237,0.027174,0.027174,0.04212,0.04212,0.04212,0.04212
Qwen/Qwen2.5-72B-Instruct,12,0.04212,0.0,0.04212,0.04212,0.04212,0.04212,0.04212,0.04212
Qwen/Qwen2.5-7B-Instruct,3,0.061205,0.029629,0.014946,0.038043,0.055707,0.091033,0.091033,0.091033
Qwen/Qwen2.5-7B-Instruct,5,0.074474,0.021794,0.03125,0.055707,0.085598,0.091033,0.091033,0.091033
Qwen/Qwen2.5-7B-Instruct,7,0.083327,0.014996,0.038043,0.085598,0.091033,0.091033,0.091033,0.091033
Qwen/Qwen2.5-7B-Instruct,9,0.088533,0.007318,0.085598,0.091033,0.091033,0.091033,0.091033,0.091033
Qwen/Qwen2.5-7B-Instruct,12,0.091033,0.0,0.091033,0.091033,0.091033,0.091033,0.091033,0.091033
google/gemma-3-12b-it,3,0.025645,0.013189,0.004076,0.024117,0.029891,0.033967,0.033967,0.033967
google/gemma-3-12b-it,5,0.031439,0.005501,0.023098,0.029891,0.033967,0.033967,0.033967,0.033967
google/gemma-3-12b-it,7,0.033064,0.002324,0.029891,0.033967,0.033967,0.033967,0.033967,0.033967
google/gemma-3-12b-it,9,0.033734,0.001122,0.033967,0.033967,0.033967,0.033967,0.033967,0.033967
google/gemma-3-12b-it,12,0.033967,0.0,0.033967,0.033967,0.033967,0.033967,0.033967,0.033967
meta-llama/Llama-3.1-70B-Instruct,3,0.013891,0.01475,-0.008152,0.008152,0.013587,0.013587,0.035326,0.035326
meta-llama/Llama-3.1-70B-Instruct,5,0.020923,0.012104,0.005435,0.013587,0.013587,0.035326,0.035326,0.035326
meta-llama/Llama-3.1-70B-Instruct,7,0.026234,0.011138,0.013587,0.013587,0.035326,0.035326,0.035326,0.035326
meta-llama/Llama-3.1-70B-Instruct,9,0.029457,0.009682,0.013587,0.013587,0.035326,0.035326,0.035326,0.035326
meta-llama/Llama-3.1-70B-Instruct,12,0.035326,0.0,0.035326,0.035326,0.035326,0.035326,0.035326,0.035326
meta-llama/Llama-3.1-8B-Instruct,3,0.086762,0.046251,0.001359,0.0625,0.08288,0.119565,0.142663,0.142663
meta-llama/Llama-3.1-8B-Instruct,5,0.112704,0.035355,0.033967,0.08288,0.119565,0.142663,0.142663,0.142663
meta-llama/Llama-3.1-8B-Instruct,7,0.126648,0.025281,0.0625,0.119565,0.142663,0.142663,0.142663,0.142663
meta-llama/Llama-3.1-8B-Instruct,9,0.134899,0.015518,0.119565,0.119565,0.142663,0.142663,0.142663,0.142663
meta-llama/Llama-3.1-8B-Instruct,12,0.142663,0.0,0.142663,0.142663,0.142663,0.142663,0.142663,0.142663
microsoft/Phi-4-mini-instruct,3,0.041371,0.033659,-0.017663,0.014946,0.028533,0.084239,0.084239,0.084239
microsoft/Phi-4-mini-instruct,5,0.058355,0.026675,0.014946,0.028533,0.059783,0.084239,0.084239,0.084239
microsoft/Phi-4-mini-instruct,7,0.069272,0.021028,0.028533,0.059783,0.084239,0.084239,0.084239,0.084239
microsoft/Phi-4-mini-instruct,9,0.076437,0.014661,0.059783,0.059783,0.084239,0.084239,0.084239,0.084239
microsoft/Phi-4-mini-instruct,12,0.084239,0.0,0.084239,0.084239,0.084239,0.084239,0.084239,0.084239
mistralai/Mistral-7B-Instruct-v0.3,3,0.031678,0.020806,0.001359,0.019022,0.028533,0.054348,0.054348,0.054348
mistralai/Mistral-7B-Instruct-v0.3,5,0.042128,0.01326,0.019022,0.028533,0.043478,0.054348,0.054348,0.054348
mistralai/Mistral-7B-Instruct-v0.3,7,0.046913,0.010352,0.021739,0.043478,0.054348,0.054348,0.054348,0.054348
mistralai/Mistral-7B-Instruct-v0.3,9,0.051072,0.006544,0.043478,0.054348,0.054348,0.054348,0.054348,0.054348
mistralai/Mistral-7B-Instruct-v0.3,12,0.054348,0.0,0.054348,0.054348,0.054348,0.054348,0.054348,0.054348
