observed_delta,median_delta,ci_low,ci_high,model_id,condition_id,n_questions
0.001359,0.001359,-0.024457,0.027174,Qwen/Qwen2.5-3B-Instruct,expert,736
-0.009511,-0.009511,-0.039402,0.02038,Qwen/Qwen2.5-3B-Instruct,cautious,736
0.024457,0.024457,0.002717,0.046196,Qwen/Qwen2.5-3B-Instruct,concise,736
0.097826,0.097826,0.065217,0.130435,Qwen/Qwen2.5-3B-Instruct,avoid_misconceptions,736
-0.029891,-0.029891,-0.051664,-0.008152,Qwen/Qwen2.5-3B-Instruct,numeric_labels,736
-0.070652,-0.070652,-0.092391,-0.048913,Qwen/Qwen2.5-3B-Instruct,single_line,736
0.005435,0.005435,-0.013587,0.024457,Qwen/Qwen2.5-3B-Instruct,code_block,736
-0.005435,-0.005435,-0.029891,0.02038,Qwen/Qwen2.5-3B-Instruct,distractor_sentence,736
-0.027174,-0.027174,-0.05574,0.001359,Qwen/Qwen2.5-3B-Instruct,distractor_paragraph,736
0.023098,0.023098,0.002717,0.043478,Qwen/Qwen2.5-3B-Instruct,polite,736
0.016304,0.016304,-0.004076,0.036685,Qwen/Qwen2.5-3B-Instruct,direct,736
0.002717,0.002717,-0.02038,0.027174,Qwen/Qwen2.5-3B-Instruct,cot_constrained,736
-0.091033,-0.091033,-0.116882,-0.065217,Qwen/Qwen2.5-7B-Instruct,expert,736
-0.029891,-0.029891,-0.055707,-0.004076,Qwen/Qwen2.5-7B-Instruct,cautious,736
0.067935,0.067935,0.044837,0.091033,Qwen/Qwen2.5-7B-Instruct,concise,736
0.067935,0.067935,0.039402,0.097826,Qwen/Qwen2.5-7B-Instruct,avoid_misconceptions,736
-0.085598,-0.085598,-0.112772,-0.059783,Qwen/Qwen2.5-7B-Instruct,numeric_labels,736
-0.03125,-0.03125,-0.054348,-0.009511,Qwen/Qwen2.5-7B-Instruct,single_line,736
-0.005435,-0.005435,-0.023098,0.012228,Qwen/Qwen2.5-7B-Instruct,code_block,736
-0.014946,-0.014946,-0.040761,0.009511,Qwen/Qwen2.5-7B-Instruct,distractor_sentence,736
-0.038043,-0.038043,-0.065217,-0.01087,Qwen/Qwen2.5-7B-Instruct,distractor_paragraph,736
-0.055707,-0.055707,-0.077446,-0.033967,Qwen/Qwen2.5-7B-Instruct,polite,736
0.008152,0.008152,-0.012228,0.029891,Qwen/Qwen2.5-7B-Instruct,direct,736
