model_id,condition_id,stage,count,pct,accuracy_parsed
Qwen/Qwen2.5-3B-Instruct,avoid_misconceptions,answer_pattern,5,0.0068,0.4
Qwen/Qwen2.5-3B-Instruct,avoid_misconceptions,invalid,65,0.0883,
Qwen/Qwen2.5-3B-Instruct,avoid_misconceptions,label_punctuation,367,0.4986,0.7657
Qwen/Qwen2.5-3B-Instruct,avoid_misconceptions,word_boundary,299,0.4062,0.5318
Qwen/Qwen2.5-3B-Instruct,baseline,answer_pattern,3,0.0041,0.3333
Qwen/Qwen2.5-3B-Instruct,baseline,invalid,51,0.0693,
Qwen/Qwen2.5-3B-Instruct,baseline,label_punctuation,202,0.2745,0.7871
Qwen/Qwen2.5-3B-Instruct,baseline,word_boundary,480,0.6522,0.4375
Qwen/Qwen2.5-3B-Instruct,cautious,answer_pattern,6,0.0082,0.5
Qwen/Qwen2.5-3B-Instruct,cautious,invalid,175,0.2378,
Qwen/Qwen2.5-3B-Instruct,cautious,label_punctuation,163,0.2215,0.8528
Qwen/Qwen2.5-3B-Instruct,cautious,word_boundary,392,0.5326,0.5638
Qwen/Qwen2.5-3B-Instruct,code_block,answer_pattern,3,0.0041,0.6667
Qwen/Qwen2.5-3B-Instruct,code_block,invalid,49,0.0666,
Qwen/Qwen2.5-3B-Instruct,code_block,label_punctuation,211,0.2867,0.7109
Qwen/Qwen2.5-3B-Instruct,code_block,word_boundary,473,0.6427,0.4693
Qwen/Qwen2.5-3B-Instruct,concise,exact_token,593,0.8057,0.4907
Qwen/Qwen2.5-3B-Instruct,concise,label_punctuation,143,0.1943,0.6783
Qwen/Qwen2.5-3B-Instruct,cot_constrained,exact_token,730,0.9918,0.5082
Qwen/Qwen2.5-3B-Instruct,cot_constrained,label_punctuation,6,0.0082,0.1667
Qwen/Qwen2.5-3B-Instruct,direct,answer_pattern,10,0.0136,0.6
Qwen/Qwen2.5-3B-Instruct,direct,invalid,44,0.0598,
Qwen/Qwen2.5-3B-Instruct,direct,label_punctuation,140,0.1902,0.7714
Qwen/Qwen2.5-3B-Instruct,direct,word_boundary,542,0.7364,0.4945
Qwen/Qwen2.5-3B-Instruct,distractor_paragraph,answer_pattern,2,0.0027,0.0
Qwen/Qwen2.5-3B-Instruct,distractor_paragraph,invalid,77,0.1046,
Qwen/Qwen2.5-3B-Instruct,distractor_paragraph,label_punctuation,190,0.2582,0.7368
Qwen/Qwen2.5-3B-Instruct,distractor_paragraph,word_boundary,467,0.6345,0.4497
Qwen/Qwen2.5-3B-Instruct,distractor_sentence,answer_pattern,1,0.0014,0.0
Qwen/Qwen2.5-3B-Instruct,distractor_sentence,invalid,63,0.0856,
Qwen/Qwen2.5-3B-Instruct,distractor_sentence,label_punctuation,143,0.1943,0.7343
Qwen/Qwen2.5-3B-Instruct,distractor_sentence,word_boundary,529,0.7188,0.4934
Qwen/Qwen2.5-3B-Instruct,expert,answer_pattern,1,0.0014,0.0
Qwen/Qwen2.5-3B-Instruct,expert,invalid,112,0.1522,
Qwen/Qwen2.5-3B-Instruct,expert,label_punctuation,79,0.1073,0.8228
Qwen/Qwen2.5-3B-Instruct,expert,word_boundary,544,0.7391,0.5625
Qwen/Qwen2.5-3B-Instruct,numeric_labels,answer_pattern,3,0.0041,0.3333
Qwen/Qwen2.5-3B-Instruct,numeric_labels,invalid,68,0.0924,
Qwen/Qwen2.5-3B-Instruct,numeric_labels,label_punctuation,48,0.0652,0.7292
Qwen/Qwen2.5-3B-Instruct,numeric_labels,word_boundary,617,0.8383,0.5057
Qwen/Qwen2.5-3B-Instruct,polite,invalid,59,0.0802,
Qwen/Qwen2.5-3B-Instruct,polite,label_punctuation,459,0.6236,0.7059
Qwen/Qwen2.5-3B-Instruct,polite,word_boundary,218,0.2962,0.289
Qwen/Qwen2.5-3B-Instruct,single_line,answer_pattern,9,0.0122,0.6667
Qwen/Qwen2.5-3B-Instruct,single_line,invalid,80,0.1087,
Qwen/Qwen2.5-3B-Instruct,single_line,label_punctuation,172,0.2337,0.436
Qwen/Qwen2.5-3B-Instruct,single_line,word_boundary,475,0.6454,0.4989
Qwen/Qwen2.5-72B-Instruct,avoid_misconceptions,invalid,26,0.0353,
Qwen/Qwen2.5-72B-Instruct,avoid_misconceptions,label_punctuation,549,0.7459,0.9563
Qwen/Qwen2.5-72B-Instruct,avoid_misconceptions,word_boundary,161,0.2188,0.6646
Qwen/Qwen2.5-72B-Instruct,baseline,invalid,28,0.038,
Qwen/Qwen2.5-72B-Instruct,baseline,label_punctuation,338,0.4592,0.9586
Qwen/Qwen2.5-72B-Instruct,baseline,word_boundary,370,0.5027,0.6973
